,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
962,Summer 2022,MATH,1325,1,11058,Calc for Bus & Social Sciences,Constante,Beatrice,7,10,2,2,2,0,2,2.725
967,Summer 2022,MATH,8698,9,12088,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,3,0,0.0
975,Summer 2022,COSC,6368,301,12649,Artificial Intelligence,Vilalta,Ricardo,41,19,0,0,0,0,0,3.551
988,Summer 2022,MATH,4389,3,12373,Survey of Undergraduate Math,Blecher,David P,5,3,4,1,0,0,1,2.872
1007,Summer 2022,MATH,6308,1,13221,Advanced Linear Algebra I,Haynes,Alan K,2,0,0,0,0,0,0,4.0
1012,Summer 2022,COSC,3340,201,13056,Intro. to Automata and Comp.,Leiss,Ernst L,4,10,8,4,0,0,1,2.627
1049,Summer 2022,COSC,8398,127,12996,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,2,0,0.0
1062,Summer 2022,MATH,8698,12,13239,Doctoral Research,Nicol,Matthew J.,0,0,0,0,0,1,0,0.0
1126,Summer 2022,MATH,1342,2,13407,Elementary Statistical Methods,Weber,Thomas Christian,10,7,6,1,4,0,1,2.643
1140,Summer 2022,MATH,3339,2,13185,Statistics for the Sciences,Wang,Wenshuang,32,12,12,8,18,0,3,2.37
