,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
2045,Spring 2022,MATH,6359,1,19697,Appl. Stat. & Mult. Analysis,Poliak,Cathy Dawn,19,0,3,0,0,0,0,0,0,3.727
2076,Spring 2022,MATH,3331,2,14858,Differential Equations,Sanders,Richard,9,2,3,1,3,0,0,0,1,2.722
2091,Spring 2022,MATH,2413,31,18603,Calculus I,Sosa,Moses,23,26,41,25,47,0,0,0,45,1.639
2119,Spring 2022,MATH,3338,3,16055,Probability,Papadakis,Emanuel Ioannis,7,4,3,0,5,0,0,0,2,2.456
2142,Spring 2022,COSC,8298,114,27173,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,2,0,0,0,0.0
2144,Spring 2022,COSC,6353,3,22125,Software Design,Subramaniam,Venkat,1,4,0,0,0,0,0,0,3,3.266
2162,Spring 2022,COSC,8398,128,20186,Doctoral Research,Tsekos,Nikolaos V,0,0,0,0,0,2,0,0,0,0.0
2167,Spring 2022,COSC,8399,125,20276,Doctoral Dissertation,Shi,Weidong,2,0,0,0,0,0,0,0,0,4.0
2171,Spring 2022,COSC,8698,114,20203,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,2,0,0,0,0.0
2173,Spring 2022,COSC,8698,103,20192,Doctoral Research,Cheng,Albert M K,0,0,0,0,0,1,0,0,0,0.0
2176,Spring 2022,COSC,3320,2,19971,Algorithms and Data Structures,Pandurangan,Gopal,12,43,25,9,7,0,0,0,23,2.438
2189,Spring 2022,MATH,4383,1,24533,Number Theory and Cryptography,Ru,Min,9,12,4,0,3,0,0,0,5,2.928
2196,Spring 2022,COSC,4353,3,22124,Software Design,Subramaniam,Venkat,8,8,3,1,0,0,0,0,2,3.051
2235,Spring 2022,MATH,4362,1,19102,Theory Diff Equ and Nonlnr Dyn,Climenhaga,Vaughn,1,1,0,2,0,0,0,0,2,2.498
2256,Spring 2022,COSC,7399,107,22698,Masters Thesis,Eick,Christoph F,1,0,0,0,0,0,0,0,0,3.67
2267,Spring 2022,MATH,4380,1,14864,Mathematical Intro To Options,Kao,Edward P,4,21,1,0,2,0,0,0,1,2.775
2270,Spring 2022,MATH,2413,61,18605,Calculus I,Perepelitsa,Irina,5,5,3,3,14,0,0,0,8,1.434
2285,Spring 2022,MATH,1342,5,14854,Elementary Statistical Methods,Hong,Yuqi,8,26,21,10,21,0,0,0,16,1.799
2299,Spring 2022,COSC,6385,1,16065,Computer Architecture,Shi,Weidong,14,4,0,0,0,0,0,0,0,3.723
2321,Spring 2022,MATH,7315,5,16973,Masters Tutorial,Mamonov,Alexander V,0,0,0,0,0,0,0,0,1,0.0
2335,Spring 2022,COSC,6377,1,19240,Computer Networks,Gnawali,Omprakash D,7,14,0,0,1,0,0,0,1,3.122
2372,Spring 2022,COSC,4364,1,19973,Numerical Methods,Johnsson,Lennart,7,10,6,1,3,0,0,0,7,2.569
2391,Spring 2022,MATH,6303,1,14873,Modern Algebra,Haynes,Alan K,8,0,0,0,0,0,0,0,0,4.0
2394,Spring 2022,MATH,6398,3,14883,Special Problems,Blecher,David P,0,0,0,0,0,2,0,0,0,0.0
2413,Spring 2022,COSC,6364,1,17075,Adv Numerical Analysis,Tsekos,Nikolaos V,38,17,5,0,0,0,0,0,0,3.424
2452,Spring 2022,MATH,6383,1,14881,Statistics,Fu,Wenjiang,12,3,0,0,0,0,0,0,0,3.8
2453,Spring 2022,COSC,6372,1,20968,Computer Graphics,Deng,Zhigang,5,0,0,0,1,0,0,0,2,3.333
2460,Spring 2022,COSC,6373,1,17802,Computer Vision,Kakadiaris,Ioannis A.,17,12,1,0,0,0,0,0,0,3.489
2479,Spring 2022,MATH,8698,10,17326,Doctoral Research,Onofrei,Daniel T,0,0,0,0,0,1,0,0,0,0.0
2483,Spring 2022,COSC,6354,1,26579,Software Development Practices,Subramaniam,Venkat,1,0,0,0,0,0,0,0,0,4.0
2488,Spring 2022,MATH,1325,2,14846,Calc for Bus & Social Sciences,Constante,Beatrice,35,37,19,6,16,0,0,0,38,2.558
2490,Spring 2022,MATH,3339,5,18549,Statistics for the Sciences,Wang,Wenshuang,105,44,19,19,9,0,0,0,19,3.09
2564,Spring 2022,MATH,8698,3,17241,Doctoral Research,Timofeyev,Ilya,0,0,0,0,0,1,0,0,0,0.0
2589,Spring 2022,MATH,2318,6,17930,Linear Algebra,Sanders,Richard,12,6,11,3,7,0,0,0,1,2.291
2599,Spring 2022,MATH,3325,2,16720,Transition to Advanced Math,Leger,Nicholas M,9,8,7,2,2,0,0,0,2,2.738
2606,Spring 2022,COSC,8998,125,20245,Doctoral Research,Shi,Weidong,0,0,0,0,0,1,0,0,0,0.0
2609,Spring 2022,MATH,1100,4,25101,Developmental Math,Caputo,Matthew G,0,0,0,0,0,5,2,0,1,0.0
2630,Spring 2022,COSC,4398,2,26316,Independent Study,Rizk,Nouhad J,0,0,0,0,0,1,0,0,0,0.0
2637,Spring 2022,COSC,8998,113,20233,Doctoral Research,Johnsson,Lennart,0,0,0,0,0,1,0,0,0,0.0
2640,Spring 2022,MATH,3304,1,14855,Mathematical Analysis,Constante,Beatrice,17,13,12,4,5,0,0,0,8,2.686
2642,Spring 2022,MATH,1342,7,16354,Elementary Statistical Methods,Caputo,Matthew G,9,10,11,11,12,0,0,0,7,1.787
2654,Spring 2022,MATH,6315,2,14875,Masters Tutorial,Ru,Min,1,0,0,0,0,0,0,0,0,4.0
2655,Spring 2022,COSC,4393,1,19239,Digital Image Processing,Mantini,Pranav,62,37,6,0,1,0,0,0,8,3.497
2657,Spring 2022,MATH,4389,1,14865,Survey of Undergraduate Math,Almus,Melahat,22,16,9,3,4,0,0,0,3,2.877
2719,Spring 2022,MATH,8698,27,27063,Doctoral Research,Morgan,Jeffrey,0,0,0,0,0,1,0,0,0,0.0
2722,Spring 2022,MATH,1300,1,20819,Fundamentals of Mathematics,Chang,James A,0,0,0,0,0,32,11,0,1,0.0
2732,Spring 2022,MATH,1324,7,14844,Finite Math with Applications,Watkins,Katie Nicole,19,34,49,32,43,0,0,0,51,1.656
2740,Spring 2022,MATH,1314,4,24550,College Algebra,Hafeez,Shahinda,5,7,16,3,21,0,0,0,17,1.455
2836,Spring 2022,MATH,8699,3,14934,Doctoral Dissertation,Azencott,Robert Guy,1,0,0,0,0,0,0,0,0,4.0
2840,Spring 2022,MATH,6395,1,24537,Select Topics Analysis,Blecher,David P,7,0,0,0,0,0,0,0,0,3.764
2851,Spring 2022,COSC,8398,120,20178,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,1,0,0,0,0.0
2880,Spring 2022,COSC,2436,5,18705,Programming and Data Structure,Rizk,Nouhad J,25,28,17,3,8,0,0,0,29,2.684
2939,Spring 2022,MATH,1342,6,16053,Elementary Statistical Methods,Caputo,Matthew G,29,28,28,15,17,0,0,0,19,2.237
2941,Spring 2022,COSC,2436,3,19970,Programming and Data Structure,Rizk,Nouhad J,19,7,14,3,11,0,0,0,37,2.334
2944,Spring 2022,COSC,1336,5,25967,Computer Science & Program,Rincon Castro,Carlos Alberto,41,22,20,4,11,0,0,0,8,2.769
3004,Spring 2022,COSC,6397,2,26394,Topics Computer Science,Yun,Changhoon,3,2,0,0,0,0,0,0,0,3.666
3064,Spring 2022,MATH,3363,5,24517,Introduction To Pde,Cappanera,Loic,10,9,3,2,4,0,0,0,6,2.596
3075,Spring 2022,MATH,1451,1,14852,Accelerated Calculus,Gao,Li,12,0,0,0,0,0,0,0,0,3.89
3080,Spring 2022,MATH,7352,1,24538,Riemannian Geometry,Heier,Gordon,9,0,0,0,0,0,0,0,0,3.927
3084,Spring 2022,MATH,6309,1,15500,Advanced Linear Algebra II,Mamonov,Alexander V,4,2,1,0,0,0,0,0,0,3.429
3095,Spring 2022,COSC,8598,120,27798,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,1,0,0,0,0.0
3096,Spring 2022,MATH,3399,1,27470,Senior Honors Thesis,Josic,Kresimir,0,0,0,0,0,0,0,0,0,0.0
3106,Spring 2022,MATH,8398,5,15495,Doctoral Research,Cappanera,Loic,0,0,0,0,0,1,0,0,0,0.0
3125,Spring 2022,MATH,2415,21,18598,Calculus III,West,James David,3,15,23,9,26,0,0,0,40,1.465
3151,Spring 2022,MATH,4309,1,16170,Mathematical Biology,Winkle,James J,4,0,0,0,0,0,0,0,1,3.918
3199,Spring 2022,MATH,2318,3,17711,Linear Algebra,Sosa Jones,Giselle Gabriela,17,13,13,12,13,0,0,0,7,2.064
3201,Spring 2022,COSC,8698,112,20201,Doctoral Research,Huang,Shou-Hsuan Stephen,0,0,0,0,0,1,0,0,0,0.0
3323,Spring 2022,COSC,6398,109,20322,Special Problems,Gnawali,Omprakash D,0,0,0,0,0,1,0,0,0,0.0
3332,Spring 2022,COSC,8298,125,26902,Doctoral Research,Shi,Weidong,0,0,0,0,0,1,0,0,0,0.0
3336,Spring 2022,MATH,1342,1,17244,Elementary Statistical Methods,Weber,Thomas Christian,38,59,42,17,28,0,0,0,29,2.281
3340,Spring 2022,MATH,3363,2,16982,Introduction To Pde,Fitzgibbon,William E,3,2,4,0,2,0,0,0,6,2.274
3394,Spring 2022,COSC,8998,124,20244,Doctoral Research,Shah,Shishir,0,0,0,0,0,1,0,0,0,0.0
3444,Spring 2022,MATH,3338,2,20878,Probability,Leger,Nicholas M,9,12,4,5,8,0,0,0,1,2.237
3486,Spring 2022,MATH,8698,25,20571,Doctoral Research,Climenhaga,Vaughn,0,0,0,0,0,3,0,0,0,0.0
