,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
2265,Fall 2021,MATH,2413,21,Calculus I,Perepelitsa,Irina,69,47,27,19,52,0,0,0,22,2.285
2309,Fall 2021,COSC,8399,128,Doctoral Dissertation,Tsekos,Nikolaos V,1,0,0,0,0,0,0,0,0,4.0
2310,Fall 2021,COSC,2436,4,Programming and Data Structure,Rizk,Nouhad J,24,18,12,2,11,0,0,0,31,2.637
2325,Fall 2021,COSC,4399,5,Senior Honors Thesis,Solorio Martinez,Thamar Ivette,1,0,0,0,0,0,0,0,0,4.0
2339,Fall 2021,COSC,8998,130,Doctoral Research,Vilalta,Ricardo,0,0,0,0,0,1,0,0,0,0.0
2355,Fall 2021,MATH,2415,1,Calculus III,Weber,Thomas Christian,48,41,32,23,25,0,0,0,28,2.379
2359,Fall 2021,MATH,3339,6,Statistics for the Sciences,West,James David,61,53,31,24,49,0,0,0,25,2.243
2384,Fall 2021,MATH,3336,4,Discrete Mathematics,Papadakis,Emanuel Ioannis,9,10,6,4,6,0,0,0,6,2.343
2421,Fall 2021,COSC,6398,122,Special Problems,Pavlidis,Ioannis T,0,0,0,0,0,1,0,0,0,0.0
2431,Fall 2021,MATH,4335,1,Partial Diff  Equations I,Cappanera,Loic,7,9,2,3,4,0,0,0,6,2.454
2480,Fall 2021,COSC,4398,10,Independent Study,Bering,Edgar A,1,0,0,0,0,0,0,0,0,4.0
2485,Fall 2021,COSC,8998,119,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,1,0,0,0,0.0
2494,Fall 2021,MATH,3325,2,Transition to Advanced Math,Ru,Min,6,7,3,1,4,0,0,0,4,2.476
2525,Fall 2021,MATH,3325,3,Transition to Advanced Math,Kalantar,Mehrdad,6,12,5,4,2,0,0,0,2,2.677
2542,Fall 2021,COSC,4198,2,Independent Study,Rizk,Nouhad J,0,0,0,0,0,1,0,0,1,0.0
2545,Fall 2021,MATH,8399,16,Doctoral Dissertation,Azencott,Robert Guy,2,0,0,0,0,0,0,1,0,4.0
2550,Fall 2021,MATH,8398,18,Doctoral Research,Mamonov,Alexander V,0,0,0,0,0,1,0,0,0,0.0
2556,Fall 2021,COSC,8398,103,Doctoral Research,Cheng,Albert M K,0,0,0,0,0,1,0,0,0,0.0
2563,Fall 2021,MATH,2413,41,Calculus I,Douglas,Casey,58,51,38,27,86,0,0,0,64,1.866
2566,Fall 2021,MATH,1342,3,Elementary Statistical Methods,Caputo,Matthew G,37,41,32,16,12,0,0,0,17,2.517
2568,Fall 2021,MATH,2318,4,Linear Algebra,Sanders,Richard,26,12,9,3,2,0,0,0,6,3.096
2583,Fall 2021,MATH,6342,1,Topology,Blecher,David P,8,1,1,0,0,0,0,0,1,3.535
2597,Fall 2021,MATH,3336,5,Discrete Mathematics,Xhabli,Blerina,20,10,14,13,14,0,0,0,27,2.076
2636,Fall 2021,MATH,1314,4,College Algebra,Caputo,Matthew G,71,55,45,21,48,0,0,0,30,2.329
2645,Fall 2021,MATH,3363,3,Introduction To Pde,Onofrei,Daniel T,39,17,15,1,1,0,0,0,1,3.233
2660,Fall 2021,MATH,3340,1,Intro To Fixed Income Math,Timofeyev,Ilya,4,8,10,3,1,0,0,0,1,2.347
2719,Fall 2021,MATH,2312,5,Precalculus,Constante,Beatrice,78,38,28,7,15,0,0,0,40,2.924
2776,Fall 2021,MATH,2312,7,Precalculus,Morgan,Jeffrey,0,1,0,0,0,0,0,0,0,2.67
2784,Fall 2021,COSC,4315,1,Programming Languages and Para,Subramaniam,Venkat,4,7,3,3,0,0,0,0,4,2.667
2787,Fall 2021,MATH,4310,1,Biostatistics,Fu,Wenjiang,5,7,2,0,1,0,0,0,0,3.11
2838,Fall 2021,COSC,6698,115,Special Problems,Laszka,Aron,0,0,0,0,0,1,0,0,0,0.0
2844,Fall 2021,MATH,8398,1,Doctoral Research,Labate,Demetrio,0,0,0,0,0,1,0,0,0,0.0
2846,Fall 2021,MATH,8698,15,Doctoral Research,Papadakis,Emanuel Ioannis,0,0,0,0,0,1,0,0,0,0.0
2856,Fall 2021,MATH,2415,11,Calculus III,Pan,Tsorng-Whay,38,23,27,13,36,0,0,0,17,2.083
2929,Fall 2021,MATH,2413,11,Calculus I,May,Jennifer Ruhnow,101,57,40,24,44,0,0,0,31,2.551
2933,Fall 2021,COSC,2425,3,Computer Org & Architecture,Long,Kevin B,65,24,8,1,6,0,0,0,8,3.356
2985,Fall 2021,COSC,6308,3,Computer Architecture,Long,Kevin B,1,0,0,0,0,0,0,0,0,4.0
3066,Fall 2021,MATH,6315,1,Masters Tutorial,Fu,Wenjiang,5,1,0,0,0,0,0,0,0,3.888
3082,Fall 2021,COSC,8698,125,Doctoral Research,Shi,Weidong,0,0,0,0,0,2,0,0,0,0.0
3088,Fall 2021,MATH,8698,8,Doctoral Research,Jun,Mikyoung,0,0,0,0,0,1,0,0,0,0.0
3089,Fall 2021,MATH,8698,14,Doctoral Research,Haynes,Alan K,0,0,0,0,0,2,0,0,0,0.0
3097,Fall 2021,MATH,1332,4,Elem Mathematical Modeling,Hafeez,Shahinda,27,33,16,10,29,0,0,0,8,2.154
3101,Fall 2021,COSC,2425,5,Computer Org & Architecture,Gabriel,Edgar,22,46,16,9,8,0,0,0,6,2.647
3150,Fall 2021,COSC,4399,4,Senior Honors Thesis,Cheng,Albert M K,0,0,0,0,0,0,0,0,0,0.0
3165,Fall 2021,MATH,8698,17,Doctoral Research,Mamonov,Alexander V,0,0,0,0,0,1,0,0,0,0.0
3169,Fall 2021,MATH,1314,2,College Algebra,Chang,James A,77,47,43,29,54,0,0,0,19,2.253
3172,Fall 2021,COSC,1336,1,Computer Science & Program,Hilford,Victoria,34,23,22,7,9,0,0,0,9,2.698
3237,Fall 2021,COSC,8398,126,Doctoral Research,Solorio Martinez,Thamar Ivette,0,0,0,0,0,1,0,0,0,0.0
3244,Fall 2021,MATH,2318,2,Linear Algebra,Olshanskiy,Maxim Alexandrovich,14,17,19,8,6,0,0,0,7,2.334
3248,Fall 2021,MATH,2312,1,Precalculus,Namakforoosh,Navid,25,29,16,11,17,0,0,0,17,2.374
3281,Fall 2021,MATH,4364,1,Intro to Numerical Analysis,Pan,Tsorng-Whay,20,18,11,3,0,0,0,0,0,3.026
3322,Fall 2021,MATH,1342,2,Elementary Statistical Methods,Weber,Thomas Christian,67,82,48,18,49,0,0,0,30,2.374
3327,Fall 2021,MATH,3336,3,Discrete Mathematics,Mang,Andreas,28,39,17,1,6,0,0,0,9,2.861
3345,Fall 2021,MATH,8698,12,Doctoral Research,Morgan,Jeffrey,0,0,0,0,0,1,0,0,0,0.0
3347,Fall 2021,MATH,6312,2,Introduction to Real Analysis,Vershynina,Anna,3,2,3,0,0,0,0,0,0,2.959
3360,Fall 2021,COSC,4311,1,Computer Scientists & Society,Ramamurthy,Uma,17,13,0,0,0,0,0,0,0,3.501
3409,Fall 2021,MATH,3321,2,Engineering Mathematics,Etgen,Garret J,55,30,44,23,34,0,0,0,31,2.233
3419,Fall 2021,COSC,6310,1,Fundamentals of Operating Syst,Paris,Jehan-Francois,4,3,0,0,0,0,0,0,0,3.524
3456,Fall 2021,COSC,8998,110,Doctoral Research,Gurkan,Deniz,0,0,0,0,0,1,0,0,0,0.0
3467,Fall 2021,MATH,6315,2,Masters Tutorial,Ji,Shanyu,1,0,0,0,0,0,0,0,0,4.0
3485,Fall 2021,COSC,3340,2,Intro. to Automata and Comp.,Singh,Raj Kumar,42,5,1,0,4,0,0,0,1,3.532
3500,Fall 2021,MATH,5382,1,Probability,Torok,Andrei S,10,17,14,0,1,0,0,0,2,2.935
3513,Fall 2021,MATH,3364,1,Intro Complex Analysis,Haynes,Alan K,18,5,7,3,5,0,0,0,5,2.702
3533,Fall 2021,MATH,6370,1,Numerical Analysis,Kuznetsov,Yuri Alexeevich,6,3,0,0,0,0,0,0,0,3.593
3557,Fall 2021,COSC,6398,127,Special Problems,Subhlok,Jaspal,0,0,0,0,0,1,0,0,0,0.0
3561,Fall 2021,MATH,1351,2,Introduction to Math Reasoning,Watkins,Katie Nicole,18,22,14,12,27,0,0,0,15,1.893
3567,Fall 2021,MATH,2312,6,Precalculus,May,Jennifer Ruhnow,73,43,20,13,55,0,0,0,55,2.314
3591,Fall 2021,MATH,3333,3,Intermediate Analysis,Leger,Nicholas M,6,8,8,3,5,0,0,0,5,2.211
3632,Fall 2021,COSC,8399,113,Doctoral Dissertation,Johnsson,Lennart,1,0,0,0,0,0,0,0,0,4.0
3642,Fall 2021,MATH,8398,8,Doctoral Research,Haynes,Alan K,0,0,0,0,0,1,0,0,0,0.0
3648,Fall 2021,MATH,8698,2,Doctoral Research,Timofeyev,Ilya,0,0,0,0,0,1,0,0,0,0.0
3664,Fall 2021,COSC,3380,1,Design File and Database Syst,Hilford,Victoria,60,36,11,1,5,0,0,0,1,3.201
3697,Fall 2021,MATH,3331,1,Differential Equations,Sanders,Richard,11,5,8,3,8,0,0,0,5,2.229
3713,Fall 2021,COSC,8998,107,Doctoral Research,Eick,Christoph F,0,0,0,0,0,3,0,0,0,0.0
3808,Fall 2021,COSC,4355,1,Intro to Ubiquitous Computing,Pavlidis,Ioannis T,16,12,2,0,2,0,0,0,4,3.26
3809,Fall 2021,COSC,1336,5,Computer Science & Program,Yun,Changhoon,27,20,13,6,12,0,0,0,8,2.543
3810,Fall 2021,MATH,1342,4,Elementary Statistical Methods,Caputo,Matthew G,29,25,27,20,22,0,0,0,8,2.136
3816,Fall 2021,MATH,6350,1,Stat. Learning and Data Mining,Azencott,Robert Guy,17,20,0,0,0,0,0,0,3,3.433
3817,Fall 2021,COSC,6360,2,Operating Systems,Paris,Jehan-Francois,13,14,3,2,0,0,0,0,0,3.177
3824,Fall 2021,COSC,7199,124,Thesis,Shah,Shishir,1,0,0,0,0,0,0,0,0,4.0
3830,Fall 2021,COSC,3360,2,Operating Systems,Rincon Castro,Carlos Alberto,23,35,23,6,17,0,0,0,36,2.382
3885,Fall 2021,MATH,2131,1,Linear Alg Labs w/MATLAB,Duvall,Jason R.,30,2,0,2,1,0,0,0,12,3.676
3900,Fall 2021,COSC,4397,1,Sel Top-Computer Science,Rizk,Nouhad J,13,7,0,0,0,0,0,0,0,3.667
3941,Fall 2021,COSC,8398,116,Doctoral Research,Leiss,Ernst L,0,0,0,0,0,1,0,0,0,0.0
3944,Fall 2021,COSC,8698,109,Doctoral Research,Gnawali,Omprakash D,0,0,0,0,0,1,0,0,0,0.0
3950,Fall 2021,MATH,1314,3,College Algebra,Caputo,Matthew G,58,50,44,30,85,0,0,0,59,1.859
3966,Fall 2021,COSC,6353,1,Software Design,Subramaniam,Venkat,5,2,0,0,0,0,0,0,1,3.62
3992,Fall 2021,MATH,1100,2,Developmental Math,Chang,James A,0,0,0,0,0,53,20,0,2,0.0
4026,Fall 2021,COSC,3396,3,Senior Research Project,Ordonez,Carlos,1,0,0,0,0,0,0,0,0,4.0
4034,Fall 2021,MATH,1324,3,Finite Math with Applications,Caglar,Atife,89,67,41,19,29,0,0,0,23,2.66
4039,Fall 2021,MATH,2318,5,Linear Algebra,Morgan,Jeffrey,68,33,20,19,16,0,0,0,31,2.72
4051,Fall 2021,COSC,6370,1,Fundamental of Medical Imaging,Tsekos,Nikolaos V,23,0,4,0,0,0,0,0,0,3.545
4155,Fall 2021,MATH,8398,17,Doctoral Research,Cappanera,Loic,0,0,0,0,0,1,0,0,0,0.0
4170,Fall 2021,MATH,2413,1,Calculus I,Constante,Beatrice,113,45,32,32,36,0,0,0,31,2.627
4225,Fall 2021,COSC,8398,131,Doctoral Research,Wu,Panruo,0,0,0,0,0,1,0,0,0,0.0
4229,Fall 2021,MATH,3396,1,Senior Research Project,Haynes,Alan K,0,0,0,0,0,1,0,0,0,0.0
4253,Fall 2021,MATH,1324,5,Finite Math with Applications,Caglar,Atife,89,80,46,25,36,0,0,0,22,2.549
4298,Fall 2021,COSC,6398,114,Special Problems,Kakadiaris,Ioannis A.,0,0,0,0,0,2,0,0,0,0.0
4320,Fall 2021,COSC,8698,102,Doctoral Research,Chen,Guoning,0,0,0,0,0,1,0,0,0,0.0
4324,Fall 2021,COSC,7399,125,Masters Thesis,Shi,Weidong,0,0,0,0,0,1,0,0,0,0.0
4342,Fall 2021,MATH,6357,1,Lin. Models & Des. Experiments,Wang,Wenshuang,30,5,0,0,0,0,0,0,0,3.782
4385,Fall 2021,COSC,6399,108,Masters Thesis,Gabriel,Edgar,0,0,0,0,0,1,0,0,0,0.0
4505,Fall 2021,MATH,1100,1,Developmental Math,Chang,James A,0,0,0,0,0,111,47,0,24,0.0
4507,Fall 2021,MATH,3363,4,Introduction To Pde,Olshanskiy,Maxim Alexandrovich,6,8,10,0,2,0,0,0,8,2.59
4520,Fall 2021,COSC,8398,102,Doctoral Research,Chen,Guoning,0,0,0,0,0,1,0,0,0,0.0
4535,Fall 2021,COSC,8398,122,Doctoral Research,Pavlidis,Ioannis T,0,0,0,0,0,2,0,0,0,0.0
4538,Fall 2021,COSC,6110,1,Graduate Colloquium,Leiss,Ernst L,0,0,0,0,0,0,0,0,0,0.0
4591,Fall 2021,COSC,8399,108,Doctoral Dissertation,Gabriel,Edgar,0,0,0,0,0,2,0,0,0,0.0
4594,Fall 2021,COSC,8398,119,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,1,0,0,0,0.0
4597,Fall 2021,COSC,4398,3,Independent Study,Gnawali,Omprakash D,0,0,0,0,0,3,0,0,1,0.0
4601,Fall 2021,MATH,6358,4,Probability & Stat. Computing,Poliak,Cathy Dawn,1,1,0,0,0,0,0,0,0,3.5
4619,Fall 2021,MATH,8399,10,Doctoral Dissertation,Timofeyev,Ilya,2,0,0,0,0,0,0,0,0,4.0
4621,Fall 2021,MATH,6398,9,Special Problems,Ru,Min,0,0,0,0,0,1,0,0,0,0.0
4685,Fall 2021,MATH,1325,2,Calc for Bus & Social Sciences,Constante,Beatrice,35,31,11,9,18,0,0,0,26,2.535
4687,Fall 2021,MATH,1351,3,Introduction to Math Reasoning,Hong,Yuqi,5,22,19,9,14,0,0,0,13,1.904
4730,Fall 2021,MATH,3339,5,Statistics for the Sciences,Labate,Demetrio,15,6,16,7,17,0,0,0,19,1.864
4765,Fall 2021,COSC,4498,2,Independent Study,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
4773,Fall 2021,COSC,4353,2,Software Design,Alipour,Mohammad Amin,13,28,1,0,0,0,0,0,2,3.325
4777,Fall 2021,MATH,3331,2,Differential Equations,Winkle,James J,13,9,5,0,3,0,0,0,5,2.978
4849,Fall 2021,COSC,2306,1,Data Programming,Shah,Shishir,10,4,13,1,1,0,0,0,6,2.667
4851,Fall 2021,COSC,1336,3,Computer Science & Program,Biediger,Daniel Edward,49,26,26,6,10,0,0,0,7,2.781
4879,Fall 2021,COSC,3337,1,Data Science I,Eick,Christoph F,14,30,15,3,0,0,0,0,5,2.93
4880,Fall 2021,COSC,4372,1,Fundamental of Medical Imaging,Tsekos,Nikolaos V,24,15,1,0,0,0,0,0,0,3.542
4921,Fall 2021,MATH,2318,1,Linear Algebra,Sosa Jones,Giselle Gabriela,27,14,16,4,12,0,0,0,7,2.521
4945,Fall 2021,MATH,6382,2,Probability Statistics,Ott,William R,15,4,0,0,0,0,0,0,0,3.737
4971,Fall 2021,MATH,6398,6,Special Problems,Mang,Andreas,0,0,0,0,0,1,0,0,0,0.0
4973,Fall 2021,COSC,8998,103,Doctoral Research,Cheng,Albert M K,0,0,0,0,0,1,0,0,0,0.0
4978,Fall 2021,MATH,2413,9,Calculus I,Climenhaga,Vaughn,6,4,0,0,1,0,0,0,2,3.183
4986,Fall 2021,MATH,6380,3,Programming for Data Analytics,Shastri,Dvijesh J,0,1,1,0,0,0,0,0,0,2.665
5002,Fall 2021,MATH,3338,1,Probability,Kao,Edward P,6,12,2,0,3,0,0,0,14,2.697
5054,Fall 2021,COSC,8698,108,Doctoral Research,Gabriel,Edgar,0,0,0,0,0,2,0,0,0,0.0
